l2miss,l3miss,instructions,cycles,stall_cycles,intra_coh,inter_coh,wall_cycles,llc_size,local_mem,remote_mem
22626,7325,527896815,228975494,70581436,49,0,1182939676,30408704,13345357824,3276800
22476,7698,532415521,230179722,70804608,54,0,105655304,33030144,1244790784,0
16717,6374,410045159,200172394,61899096,64,0,105400472,38535168,1024786432,67633152
21578934,19307040,1334127330,833700431,301102810,495,0,105234476,40960000,2122514432,0
22706312,20023113,1398565773,834233819,276329047,305,0,105197004,37617664,2285633536,20381696
23076913,19713830,1375698655,809462984,257389607,292,0,105084024,38993920,2178220032,0
22591175,20210418,1406174807,836987634,278977583,211,0,105712840,37748736,2243821568,0
8007335,7068827,495658900,293900778,96483639,117,0,4685082988,26804224,743899136,0
23925084,19985546,1431832490,1033602152,461070932,293,0,105530946,36700160,2271477760,0
23872221,19972204,1432150626,1037845491,468161030,350,0,105557298,36569088,2294939648,0
23309191,19628690,1413744505,1037621880,474060779,294,0,105513321,36700160,2249326592,3276800
23669224,21069991,2178928044,942498620,279632374,473,0,105451245,30605312,1687945216,0
25835896,22033404,2676818853,966908005,211906477,296,0,105451539,31522816,1551761408,0
21541515,18839192,2235902571,750912550,131935021,216,0,105445857,32047104,1290141696,2555904
21468775,19017623,2256830791,750892831,126147127,240,0,105470790,40173568,1299054592,0
22712410,19959888,2363875618,790215024,133212187,187,0,105486027,32112640,1363738624,589824
22739965,20095150,2390041437,796549277,134388221,269,0,105450174,31850496,1372389376,2555904
12229498,10955789,1250563590,441536422,85799779,215,6,105271017,12189696,687603712,0
12705575,11531907,655422875,451394260,289732125,5052,0,105638775,38404096,1263927296,24903680
22669630,20758220,997615260,757627568,519364042,212,0,105583155,37421056,2271019008,1966080
22560996,20536044,992330135,757923221,517922036,177,0,105529383,38207488,2277900288,2228224
22619348,20656500,1000870636,757209083,515280893,177,0,105524079,37552128,2268987392,0
22676053,20433386,990457894,753372968,510906353,194,1,105550533,38535168,2286223360,1835008
22940872,20941415,1001557705,725259323,484852598,184,0,105659349,38010880,2290483200,2490368
22516724,20854153,994390432,717793517,480016613,139,0,105456672,39059456,2263154688,0
23073511,21288488,1020263149,718031215,471808353,168,0,105598966,41156608,2336882688,5570560
11067351,11073962,1000539120,715354619,239877742,1743,0,105401693,28770304,869138432,0
9511659,9569055,1215281712,717037363,129384977,158,0,105486339,27131904,610861056,0
9073545,9042391,1154908582,685465445,124329979,100,0,105520408,30801920,581632000,0
9038826,9031579,1150006680,678750485,121234271,10,0,105412234,26804224,576847872,262144
9029532,8979358,1146055096,679119664,122375954,15,0,105500249,30277632,577306624,0
8984450,8967385,1145206411,678855789,122564760,12,0,105392435,27918336,577110016,0
8953746,8997800,1145700799,677482726,121583449,13,0,105479136,28704768,574029824,1048576
8656146,8601409,1096655751,647652464,115580850,16,0,105505680,27394048,551550976,0
8547238,8538284,1087664556,638960985,110580807,28,0,105449049,36372480,550305792,327680
8453192,8406237,1076077828,633408840,110155937,52,0,105492591,27590656,548143104,655360
8569568,8551545,1090325999,639128224,109472086,1,0,105505284,27918336,549519360,0
8543678,8560134,1089310072,638890826,110575453,14,0,105509856,32505856,549060608,0
8244164,8192657,1042944500,610379338,104464540,14,0,105426021,27066368,525271040,786432
8059565,8049497,1025269518,598912152,101159736,6,0,105495141,30146560,516227072,0
8065077,8056298,1027338815,599782510,101182064,5,0,105463191,26148864,517603328,0
8539692,7769319,956631637,565962101,105326097,713,0,105435768,30605312,563478528,5308416
12605665,11336460,979664212,433039650,54664755,2403,0,105406884,30736384,1011154944,851968
12717873,11180004,962883372,420845639,50391847,2346,0,105543462,27525120,965083136,0
12381287,11036238,946153006,411164818,47958007,3020,0,105624054,32047104,965541888,0
12343876,10975428,944640933,411039688,47393972,3230,0,105486255,30408704,1002110976,2424832
12117916,10958789,943398073,410753213,48239152,3285,0,105479973,21626880,974716928,0
11969813,11035393,946461481,411059190,48301946,3683,0,105388767,23986176,949485568,720896
11589219,10704610,910227137,395584707,47804756,2968,0,105498627,24248320,913637376,1179648
11231932,10527145,887056942,383868129,45200201,3033,0,105597618,38469632,899547136,0
11132395,10287965,877618956,383264514,45711886,2929,0,105623968,29884416,923598848,3735552
11082950,10362710,886213979,383548069,43729304,3194,0,105426482,29229056,934412288,0
10909426,10468060,888085537,382994863,44196677,2790,0,105465561,28180480,931069952,0
10488396,10157949,859590633,370121767,42298136,2503,0,105619092,28049408,900268032,0
9971340,9799592,824197666,354640791,40418622,2361,0,105492132,26869760,843841536,0
9669618,9300768,799612801,347049467,39587108,1928,0,105432603,28770304,839843840,3211264
9861344,9778244,827344040,355231324,38864837,1100,0,105503225,28377088,878182400,0
9933159,9836404,828504946,355645789,40569503,1625,0,105531688,27525120,856686592,2162688
10005730,9893511,832743068,355376802,39506887,2370,0,105435474,28770304,869007360,0
9436869,9301600,783743833,334785097,36412394,1994,0,105537999,36962304,798162944,0
9938820,9835214,829295173,354971316,38152777,2261,0,105403235,31653888,837156864,0
9951354,9875544,835049279,355784200,37631031,1625,0,105479977,28508160,861863936,3211264
8901828,8902898,749567934,318664132,33618642,1769,0,105488013,37486592,762576896,0
8643402,8616442,725279685,309934200,34799832,1329,0,105450681,27262976,737607680,2359296
8701919,8581868,721151697,309716924,34855994,1453,0,105331818,27787264,749797376,0
8684912,8538944,722124083,310453419,34839909,2199,0,105534894,27394048,755040256,0
8628892,8551966,721810641,309605152,34287431,1884,0,105314181,25755648,734986240,851968
7372432,7412518,622438227,265302150,28964638,1438,0,105365772,26214400,641466368,0
7473067,7374495,619387971,265120241,29848224,2044,0,105514652,24772608,641925120,0
7435854,7376025,619330719,265101680,28554449,2080,0,105415000,25952256,634519552,458752
7423374,7324194,616238040,265067759,30150356,2043,0,105383202,27262976,637861888,131072
6622420,6556615,553747602,236789570,25051506,801,0,105384056,23658496,568852480,0
6194200,6254125,525955002,223209799,23622504,103,0,105287809,23134208,539426816,0
6273928,6260482,524277044,222535931,23727588,351,0,105370980,22216704,545521664,327680
6313502,6233108,523378932,222389785,23019661,346,0,105391431,24248320,537264128,196608
5525521,5755635,482949401,207243124,22501421,978,0,105458988,19922944,498466816,0
5022036,4965005,418665026,178117663,18383262,5,0,105358342,22151168,434700288,0
4945460,4959008,417217807,177948257,19265483,511,0,105242363,18350080,429850624,0
5017353,4970456,416220128,177479427,19279469,262,0,105441751,22413312,425656320,917504
5010371,4957141,414396405,177191958,19279856,463,0,105285909,20054016,428933120,0
3846447,3805370,321653940,135721041,13301974,263,0,105347825,17498112,331743232,655360
3856838,3803241,319065695,134981531,13461225,296,0,105288555,21168128,333316096,196608
3847570,3897590,325985999,135930525,13648760,346,0,105351102,17301504,333316096,0
3840917,3813974,322107432,135933793,13204370,102,0,105349368,19595264,333905920,0
3063410,2990602,250430624,105499198,10219399,83,0,105270132,13041664,257818624,0
2618326,2532407,210775815,89717807,9460945,375,0,105343665,13041664,220725248,458752
2610675,2593450,214767352,90393030,9236739,235,0,105272886,14548992,219086848,0
2556259,2558632,214914582,90460871,8921189,202,0,105401360,13369344,220332032,0
2612928,2533699,212050095,89766289,8992906,279,0,105256327,12189696,220987392,0
3807308,3733585,311133342,131111246,13288915,303,0,105353295,18481152,319750144,2686976
3851152,3870506,324910709,135976086,13298129,267,0,105291177,17104896,332136448,0
3814991,3803953,321233390,135560398,13366168,318,0,105288837,14221312,330104832,786432
3863286,3810460,319559226,134869370,13609130,213,0,105132369,18612224,331284480,0
2654543,2661498,219961248,92048104,9115525,1681,0,105279714,11534336,225378304,0
2554398,2589366,216596702,90794099,8845310,111,0,105282057,12779520,223412224,0
2559224,2503870,206639947,85553095,8774775,509,0,105289086,12058624,218169344,0
2622927,2555155,213272931,90064364,8858395,327,0,105283554,11403264,222691328,262144
1787133,1793514,147629160,62012667,6428596,204,0,105239088,7471104,150667264,0
1280168,1274918,107010566,45028414,4748650,0,0,105189756,9502720,109117440,0
1256409,1250197,104868652,44744773,4393996,0,0,105283784,7405568,109838336,327680
1278754,1263991,104560389,44685311,4810375,0,0,105244712,9895936,108986368,65536
1311423,1305888,104984009,44780606,4850092,0,0,105178147,6881280,110755840,0
1273656,1313675,108322184,45107929,4593017,0,0,105293173,7143424,110690304,196608
1275798,1258317,105581940,44917604,4697883,0,0,105156075,8585216,107544576,0
1258511,1245882,103882709,44473462,4492053,0,0,105258819,6488064,109117440,0
1342123,1284793,105812814,44862047,4717044,0,0,105304305,5701632,109510656,0
1263462,1311451,105443626,44807252,4810584,0,0,105320292,6422528,108789760,0
1262259,1287382,107353983,45083750,4706060,0,0,105159180,7012352,109051904,524288
1185981,1175771,100487576,45575223,6448010,0,0,105242577,5701632,105250816,0
1217096,1182695,101238974,45124731,5716885,0,0,105283431,7340032,106364928,0
1287672,1304689,104999748,44439458,4804110,0,0,105354853,5505024,106889216,458752
1248726,1263717,106139211,45088631,4690116,0,0,105208416,6815744,108462080,1245184
1260019,1247924,104302944,44594523,4543105,0,0,105228956,7733248,109707264,0
1266815,1248036,103435005,44296130,4867170,0,0,105157971,6553600,106889216,196608
1283931,1299094,106333034,44769551,4675852,0,0,105343269,6488064,110362624,0
1254727,1281278,106855969,45115943,4571490,0,0,105182070,6684672,108265472,524288
1257905,1240113,103929359,44546313,4788576,0,0,105239853,6750208,108724224,0
1303548,1263099,104372079,44500294,4813780,0,0,105300642,7733248,109510656,0
1271535,1296083,105441557,44707707,4823028,0,0,105274050,5898240,106364928,655360
1156463,1285878,107454944,43437099,4103393,0,0,105372044,7536640,106561536,0
1254886,1238393,103660342,44396663,4538585,0,0,105160465,6553600,111017984,196608
1305252,1273243,105055921,44560321,4659363,0,0,105234786,5832704,110297088,327680
1254370,1313702,105877602,44742954,4869573,0,0,105266385,15859712,107216896,0
1231722,1251258,104814493,44657543,4879943,0,0,105293205,19988480,106758144,524288
1268357,1251524,104776300,44660410,4432303,0,0,105248164,20381696,110559232,0
1313718,1263205,103719725,44401847,4890262,0,0,105187532,20250624,108920832,262144
1271905,1311633,108283637,45090541,4531815,0,0,105317044,19922944,109969408,0
1238328,1264476,105752727,44886650,4593026,0,0,105251216,18284544,109117440,262144
1279051,1246211,103312904,44330888,4567772,0,0,105275916,18219008,109445120,0
1308729,1270903,105410999,44681771,4652228,0,0,105268341,18350080,109969408,0
1249069,1324514,108131678,45024656,4761978,0,0,105299591,18546688,108920832,393216
1247883,1261949,105707364,45059713,4613575,0,0,105192169,17104896,111935488,0
1250425,1239174,102835935,44454153,4722095,0,0,105242913,16252928,109641728,589824
1270047,1259850,104507616,44577152,4931958,0,0,105283062,17760256,108265472,0
1275315,1316062,108154089,45213920,4633503,0,0,105256252,18350080,110559232,0
1232613,1236612,103829596,44484333,4605658,0,0,105223942,16384000,109903872,720896
1302622,1268795,104676865,44641744,4602293,0,0,105221239,16580608,109576192,0
1287333,1256745,104147122,44575792,4776816,0,0,105324307,16318464,108593152,0
1268200,1296448,107675767,44946643,4748851,0,0,105209093,16580608,109379584,131072
1254170,1265522,105772616,44874797,4394404,0,0,105214536,16449536,109117440,0
1284744,1248923,103322993,44317275,4660536,0,0,105269661,14417920,110690304,1179648
1284584,1299024,106558606,44823499,4672486,0,0,105166620,14614528,109969408,0
1052652,1204853,100802570,43057136,4541797,0,0,105286704,14221312,102301696,0
1242343,1259622,105251070,44793744,4488767,0,0,105283530,14221312,110100480,196608
1288032,1247837,103585108,44479317,4747365,0,0,105300841,10878976,111345664,131072
1263448,1296420,105465930,44666845,4788114,0,0,105228716,11403264,109051904,0
1256387,1275599,106502304,45072817,4556469,0,0,105223737,12386304,109903872,131072
1233197,1254620,104934071,44669080,4408083,0,0,105231816,12517376,108855296,524288
1277223,1250887,103243768,44441429,4653858,0,0,105230220,11993088,109182976,0
1300143,1317433,106726994,44646356,4680651,0,0,105284925,10485760,110034944,655360
1242171,1270961,106802523,45228694,4727843,0,0,105265605,10485760,109445120,0
1241922,1246800,103980210,44642195,4744622,0,0,105175998,10420224,110952448,131072
1262308,1248950,103053558,44275044,4946433,0,0,105209650,10223616,108199936,131072
1292123,1302264,106193628,44883820,4801650,0,0,105174341,8388608,110755840,0
1231436,1272725,106677379,45041640,4675486,0,0,105272229,8323072,109641728,655360
1263356,1250636,103989272,44595553,4616797,0,0,105238947,8388608,109838336,0
1276517,1265669,103528906,44453088,4997496,0,0,105303583,7536640,108986368,589824
1266302,1295957,105312392,44745857,4867401,0,0,105161519,6553600,109576192,0
1254927,1280688,106633125,45072844,4835450,0,0,105174831,6291456,111607808,0
1245642,1241414,102052867,44381191,4810852,0,0,105245952,6291456,110493696,131072
1300546,1280223,104631287,44538008,4770122,0,0,105160875,6291456,109445120,131072
1264535,1309438,104910497,44779230,4898350,0,0,105273393,6291456,109707264,0
1223298,1239749,103720762,44699740,4932030,0,0,105262725,4194304,109903872,0
1260708,1251674,102288312,44711931,4846693,0,0,105181497,4194304,110166016,327680
1322421,1282119,101318538,44442387,5469588,0,0,105238092,4194304,109051904,0
1258442,1308670,106079787,45158697,5169520,0,0,105261225,4194304,110755840,0
1238239,1261840,103770598,44767957,5206287,0,0,105262719,3997696,108920832,589824
1262771,1236474,100793377,44385675,5305530,0,0,105229077,4063232,108003328,0
1341804,1293504,102724041,44648427,5347390,0,0,105260289,3538944,110231552,655360
1258898,1331382,105778293,45045541,5226330,0,0,105207755,3604480,107347968,0
1266599,1253410,103184046,44850428,5215619,0,0,105212497,4128768,109838336,0
1313858,1289722,88951249,46034760,8284334,0,0,105228159,2097152,110428160,0
1452021,1503368,58100338,51619756,18572496,0,0,105229986,2097152,112656384,0
1456935,1443931,80842518,49054063,14794970,0,0,105266466,2031616,99745792,1310720
1522334,1444734,61855571,49563694,17643791,0,0,105234105,2097152,136970240,0
1450471,1379552,62626355,44209696,11398495,0,0,105260403,2097152,110166016,3604480
1286158,1335502,76596895,46269009,12225388,0,0,105239085,2097152,103677952,0
1472132,1384586,53399203,51004783,19005040,0,0,105232674,2097152,103350272,0
1390470,1368647,70750957,47913499,9685745,0,0,105290577,2097152,96862208,1572864
1470118,1477352,58525526,50275226,16051488,0,0,105185256,2097152,115277824,0
1336361,1371572,68188597,48860443,13243065,0,0,105229875,1441792,92340224,4325376
1276690,1252311,59678618,51602489,18237119,0,0,105226590,2031616,120848384,0
1304495,1317127,74627399,47556795,12624698,0,0,105260115,1703936,105316352,0
1378990,1244088,55488013,44948494,14119481,0,0,105190893,2097152,97648640,327680
1410396,1509176,34383913,52448566,19279925,0,0,105222687,2097152,110493696,0
1284940,1278174,54109641,49702462,14607578,0,0,105337455,2097152,91160576,1835008
1304010,1273039,71922564,48385346,12609586,0,0,105249048,2097152,113704960,0
1309840,1294124,68029638,49427768,17186901,0,0,105305391,2097152,118554624,0
1330989,1270474,65784893,49756162,15745971,0,0,105247845,2097152,95682560,2097152
1349811,1304893,87067743,48282264,13668740,0,0,105223071,2097152,86900736,0
1352909,1316253,81276629,47692895,13575738,0,0,105219210,2097152,109379584,983040
1332501,1129351,57795572,49504830,17602228,0,0,105274056,2097152,97648640,0
1452138,1402996,68058335,49016486,14007858,0,0,105280104,1835008,104398848,6029312
1393001,1441961,49639377,52599208,17812097,0,0,105290472,2031616,104792064,0
1306610,1297115,75206528,48789212,16277173,0,0,105236400,2097152,86835200,851968
1403396,1308187,56179893,51079729,21136826,0,0,105517818,2097152,112984064,0
1536077,1426515,66424947,49091077,17917192,0,0,105097299,2097152,136708096,0
1356322,1380315,68431398,48817638,13657283,0,0,105453657,2097152,84606976,393216
1380955,1229752,81062299,46520252,10436060,0,0,104870121,2097152,92340224,0
1397445,1483495,68832729,49013889,16359411,0,0,105477009,2097152,111607808,1572864
1273847,1334554,59796583,50077215,13207613,0,0,105157605,2097152,82051072,0
1491969,1323693,66141497,48217830,15177962,0,0,105061203,2097152,116981760,1703936
1320168,1551979,47895469,51008332,17893688,0,0,105095784,2097152,87097344,0
1337892,1337322,64468903,49393784,18198199,0,0,105262629,2097152,94240768,655360
1490723,1394886,68279906,48659688,13925418,0,0,105387336,2097152,96600064,0
1592264,1498700,58008936,44364468,14326492,0,0,105055215,2031616,132055040,720896
1242913,1319648,64866021,50483223,15926687,0,0,105182214,1966080,77398016,0
1216860,1170299,57143401,48983843,19100530,0,0,105406539,2097152,89063424,0
1346642,1275243,57050741,47890448,16954980,0,0,105220467,2097152,100335616,1441792
1245097,1333845,65911604,46181143,14133043,0,0,105367437,2097152,89587712,0
1322482,1363054,52376402,50299498,19970184,0,0,104988237,2097152,108724224,1376256
1399698,1404638,46216807,51491324,20054672,0,0,105048093,2097152,91357184,0
1365132,1333019,56914306,49176700,16091079,0,0,105163023,2097152,99876864,786432
1345814,1434584,56607844,51010457,17568561,0,0,105249111,2097152,96206848,1507328
1367326,1346155,65075432,48394921,14656112,0,0,105229785,2097152,124256256,0
1409186,1282518,71179397,48034231,15612396,0,0,105578115,2097152,95813632,6029312
1336823,1394870,63176979,48299758,14399659,0,0,105126822,2097152,90308608,0
1461197,1396462,45641217,52577522,19651692,0,0,104939568,1769472,91619328,2097152
1440844,1389123,46569798,52536234,22748669,0,0,105335115,2031616,105512960,0
1529548,1301581,61751771,49243425,17606104,0,0,105020076,2097152,89784320,131072
1380424,1547157,69511508,48974417,11543531,0,0,105294042,2097152,91684864,65536
1313466,1310255,61632241,48872990,16953915,0,0,105374325,2031616,100007936,0
1429814,1325331,44810621,50236378,19227831,0,0,104922879,2097152,92995584,1638400
1315844,1364654,69831684,48897810,15423482,0,0,105347757,2097152,107675648,0
1257220,1236634,67917377,47739318,16484273,0,0,105048891,2097152,85983232,0
1368461,1240148,67745759,46801120,12124616,0,0,105517339,2097152,81657856,5570560
1445251,1410527,50821626,52306770,20547903,0,0,105225744,2031616,114098176,0
1287079,1387089,63366503,49092632,16172762,0,0,105001440,2097152,115474432,5046272
1289586,1157642,70006178,47340493,11973249,0,0,105290612,2097152,91357184,0
1067080,1166330,74025228,43085849,14553597,0,0,105177449,1703936,84672512,262144
1237114,1303017,58872536,45194940,12988898,0,0,105819527,1966080,115146752,0
1318171,1240323,72338033,46415617,13096139,0,0,104841452,2097152,97714176,1835008
1264598,1497705,70728582,47421834,12898257,0,0,105200364,2097152,114622464,0
1222661,1166913,53730999,48896301,16150956,0,0,105409702,2097152,84738048,0
1326509,1240957,80252569,46034310,12766899,0,0,105097826,2097152,110428160,1310720
1186139,1370053,69020757,48178978,12129952,0,0,105352276,2097152,93454336,0
1240238,1210890,76549519,45372572,14151045,0,0,105292244,2097152,86573056,0
1242116,1321554,58558260,48099458,14596973,0,0,105563100,2097152,88932352,0
1344604,1491986,47787802,51012818,17037201,0,0,104644080,2097152,84738048,1179648
1442473,1283671,69407085,46796315,14279775,0,0,105371364,2097152,110166016,0
1317612,1393724,81843589,45926154,12600897,0,0,105031242,2097152,112066560,0
1234220,1170764,71746324,46385972,14547579,0,0,105448058,1572864,99811328,0
1356566,1298935,60872694,49845753,17879578,0,0,105341884,1572864,77398016,524288
1364507,1402463,58250440,49813060,16378645,0,0,105200952,1835008,103022592,458752
1278284,1260350,68316972,47170809,12068148,0,0,105127252,1966080,105644032,0
1591166,1301080,59138854,47519250,16708868,0,0,104921140,2097152,104464384,1179648
1055141,1283365,61462197,48745053,13402071,0,0,105236088,2031616,80740352,196608
1322120,1351276,65148440,47512445,15417828,0,0,105233340,2097152,97452032,0
1280245,1288575,60066002,47978238,15278675,0,0,105228432,2097152,99418112,720896
1295226,1395261,49732172,50658610,15832219,0,0,106372100,2031616,97386496,0
1371499,1290358,61228581,48018422,13512114,0,0,105089236,1900544,98041856,0
1363077,1282084,90594372,44446477,10271778,0,0,105127158,1769472,90112000,0
1278336,1177743,79391852,45545129,10396652,0,0,104977910,1703936,105054208,1703936
1454024,1307099,68571059,45916353,14219326,0,0,104564992,2031616,105971712,0
1308305,1427307,63147958,48656868,12471027,0,0,105858056,1900544,106889216,1835008
1240312,1175227,77022625,45346836,9066512,0,0,104851712,1769472,93913088,0
1476896,1368924,69120549,45526228,11989697,0,0,105304216,1572864,94699520,0
1234559,1316198,76410219,47324657,12264958,0,0,105117932,1966080,122028032,1179648
1271708,1219381,81353484,46537165,12923013,0,0,105130616,1900544,88735744,196608
1308624,1256634,74177951,45920209,13096361,0,0,105059616,1703936,107937792,0
1179300,1216780,88455465,45338000,11341132,0,0,105203640,1900544,88735744,196608
1212402,1171344,71715754,46367833,12519744,0,0,105233004,1835008,112394240,0
1407402,1300567,79147129,46324900,10595353,0,0,105186029,1769472,86573056,917504
1302771,1204191,72791872,46043122,13201972,0,0,105289519,2031616,114294784,131072
1256074,1185854,71170684,45835778,12290913,0,0,105268156,2097152,89260032,4325376
1311644,1291101,83091058,45932308,12273577,0,0,105163184,1966080,108396544,0
1359163,1459425,57369580,50927587,14712239,0,0,105184052,1769472,93782016,1441792
1270181,1281092,57645577,48241973,15758332,0,0,105190620,1835008,94765056,0
1212920,1286127,84077647,46342803,12574330,0,0,105276737,1966080,84672512,983040
1222109,1282124,59496678,49769439,19584684,0,0,105328919,1769472,77856768,0
1273135,1220358,72202687,46400170,13036359,0,0,105252478,1966080,95158272,458752
1185009,1272278,73405719,47123892,12802806,0,0,105143430,1966080,92602368,786432
1289730,1191302,72599992,46484119,13815258,0,0,105222352,1835008,89194496,0
1407100,1299267,69933926,42360059,12706641,0,0,105296456,2031616,83230720,524288
1199815,1362431,87578583,46448163,11626754,0,0,105237372,2097152,107479040,0
1232158,1273759,61796767,47530968,17820861,4,0,105164336,1966080,98107392,0
1259748,1383303,42838143,50833125,17339106,0,0,105230764,2031616,98238464,917504
1245616,1250024,81968281,46451250,11412092,0,0,105197252,1769472,85065728,0
1206337,1152694,73827572,45607875,13548194,0,0,105310720,1703936,91750400,786432
1375902,1328636,60966701,48187324,16726782,0,0,105152685,1769472,97320960,0
1325855,1182537,85021768,44014435,13591844,0,0,105220271,2097152,78577664,327680
1305420,1229484,64351621,48465245,16540298,0,0,105310108,2097152,101908480,0
1267590,1329668,71203879,47427224,14032008,0,0,105146756,2097152,86114304,786432
1254716,1097598,70778956,42513919,8677615,0,0,105207637,2031616,85852160,0
1389888,1216651,58153781,45093016,13132229,0,0,105265113,1966080,96534528,458752
1271321,1398657,59003506,49403215,15935147,0,0,105157068,1900544,78315520,0
1291271,1195733,70126631,46622676,14452540,0,0,105294564,2031616,119668736,786432
1333565,1287884,68221999,46296328,11926296,0,0,105184545,2097152,100401152,0
1211949,1206258,76484235,46404613,12384428,0,0,105225738,2031616,98500608,0
1282885,1245349,61435801,47220380,12830864,0,0,105189102,1900544,98959360,131072
1461955,1431341,65131194,46998414,13306359,0,0,105242325,1769472,104726528,851968
1235845,1386187,54168106,49328102,14573570,0,0,105208635,2031616,132775936,262144
1295806,1348223,50113727,49374966,18838787,0,0,105222963,1179648,101449728,0
1406168,1343424,84146160,47757477,13452399,4,0,105267216,2097152,108462080,131072
1192666,1148478,77071939,46824704,12767730,0,0,105247605,1966080,87752704,0
1335408,1001647,54166825,39662044,13726459,0,0,105241347,2031616,122159104,65536
1312631,1368001,80153586,47648523,14147599,0,0,105202773,1966080,104923136,262144
1476014,1478919,56768543,50376293,12924032,0,0,105186111,2097152,108658688,458752
1384250,1334470,55246334,51270803,21294176,0,0,105212406,1835008,95223808,0
1251813,1303825,82783637,46529172,12103734,0,0,105199170,1966080,99155968,262144
1337747,1213612,84197373,45327793,10708647,0,0,105228675,2097152,94371840,0
1566783,1519831,53194432,52108445,19970003,0,0,105234555,2031616,123273216,655360
1300840,1198235,65408767,47099240,13992515,4,0,105237270,2097152,104726528,0
1314898,1354709,73882503,48638264,12729540,0,0,105160092,1769472,100859904,393216
1257920,1187011,78233304,45026877,11630313,0,0,105182385,2097152,88932352,0
1436805,1475093,75941903,47357070,12893193,0,0,105224364,1966080,115474432,1048576
1327412,1355116,71990325,47489833,10612869,0,0,105225168,1966080,79429632,0
1286089,1372800,64154228,47995577,15765732,0,0,105202950,1900544,95223808,4587520
1251718,1270262,74303474,47763209,11653423,0,0,105206919,2031616,106102784,0
1482262,1549921,42196361,50794324,17562099,0,0,105179952,1835008,112918528,0
1297852,1279573,80809598,48311612,11668926,0,0,105249066,2097152,84869120,524288
1418768,1152402,61568295,49288477,17623922,3,0,105224439,1703936,91095040,0
1446115,1339163,70784857,48975474,14645506,0,0,105199257,1769472,119144448,1048576
1384098,1351741,77657445,46105891,11384501,0,0,105230121,1835008,109379584,0
1101882,1255743,57464155,49261359,16407997,0,0,105205740,1900544,120258560,6881280
1317148,1257285,73980611,47144079,12560538,0,0,105196701,1441792,108527616,0
1299127,1422158,48083258,49879061,16856491,0,0,105197178,2031616,129368064,1114112
1368473,1426025,63057711,48133834,16262399,0,0,105193542,2097152,96010240,0
1418346,1230842,74989256,48597313,15943647,0,0,105196488,2031616,110297088,0
1067823,1167535,69832944,44934954,11529071,0,0,105203811,1966080,87752704,262144
1255823,1162663,73799713,43957790,10887624,0,0,105228312,2031616,84606976,0
1083344,954685,59471095,39703457,10197279,0,0,105190137,2031616,84869120,1572864
1536661,1571664,52522116,48997330,15571528,0,0,105222867,2031616,95485952,0
1157894,1162818,68630764,46261126,13522097,0,0,105184743,1900544,90701824,0
886314,497682,29263998,56161417,31289369,0,0,105261015,2097152,63700992,327680
1206950,1096645,31467126,53996737,34777630,0,0,105258561,2031616,138018816,720896
591115,683032,38341513,47362495,23990649,0,0,105258186,2031616,80347136,0
160379,110776,32047261,55698861,30345840,0,0,105254277,1245184,14680064,0
807181,734128,97368735,59344178,10919144,0,0,105206976,1966080,52166656,655360
811468,808603,101806535,59311683,9764693,0,0,105295074,2097152,50987008,262144
809402,810259,102782696,59419074,9725374,0,0,105261684,2097152,51642368,0
808767,810198,102728312,59351151,9630885,0,0,105225057,2097152,51904512,262144
808544,810242,102801876,59385988,9619198,0,0,105238731,2097152,51380224,0
811040,808596,102530557,59353746,9643576,0,0,105197514,2097152,51642368,131072
809211,809292,102619224,59380181,9831347,0,0,105229617,2097152,51707904,0
809877,811222,102808058,59344084,9612893,0,0,105216645,2031616,51904512,262144
806818,809097,102561147,59382066,9679354,0,0,105243429,2097152,51445760,0
806423,808805,102484756,59374462,9684869,0,0,105216786,2097152,51904512,0
807059,808484,102191472,59294899,9790047,0,0,105084588,2097152,51380224,131072
731628,809795,102542573,59389681,9197855,0,0,105248124,1769472,51511296,0
759248,786305,99862720,57856799,9699166,0,0,105199800,2031616,50724864,196608
804997,809929,102588867,59416129,9806380,0,0,105247410,2097152,51838976,0
809932,811919,102525168,59346279,9726152,0,0,105151245,2097152,52035584,131072
811059,809047,102640741,59414416,9644342,0,0,105219573,2097152,51445760,0
806765,807705,101953716,59336525,9993843,0,0,105251661,2097152,51576832,0
806363,809606,102572287,59456725,9683949,0,0,105298191,2097152,52035584,0
809455,808998,102529068,59384443,9748090,0,0,105255081,2097152,51838976,262144
810607,810860,102634230,59362563,9727223,0,0,105210246,2031616,50855936,0
809618,808948,102426834,59409822,9752636,0,0,105349533,2031616,52428800,0
809815,810895,102843569,59391283,9570195,0,0,105430419,2097152,51904512,131072
808823,811255,102728785,59392383,9671142,0,0,105102027,1966080,52232192,0
810223,809001,102203636,59376601,9737752,0,0,105131427,2031616,51380224,0
809135,811563,102619478,59390720,9928065,0,0,105205407,2031616,51249152,0
807092,807745,102309380,59311839,9755519,0,0,105375033,2031616,51642368,0
808544,811015,102707272,59455169,9661277,0,0,105244152,2097152,51576832,0
809744,808011,102329099,59366601,9734260,0,0,105357633,2097152,52297728,0
809848,811138,102827122,59343050,9662403,0,0,105296979,2097152,51052544,0
809530,811018,102786700,59404929,9768689,0,0,105096627,2031616,52297728,0
807788,809885,102602870,59355808,9632667,0,0,105339204,2097152,51838976,0
807079,807038,102604805,59390759,9634981,0,0,105035850,2097152,52297728,0
